174,https://www.rds.ca/1.7240173,Jakob Pelletier donne une 10e victoire de suite aux Wildcats,LHJMQ,,"mercredi, 19 févr. 2020.  20:40"
216,https://www.rds.ca/1.7240215,Quan Bray et Greg Robinson arrêtés au Texas avec de la marijuana,Alouettes,RDS.ca,"jeudi, 20 févr. 2020.  11:23
(Mise à jour : mercredi, 19 févr. 2020.  21:48)"
396,https://www.rds.ca/1.7240395,Le Rocket récolte un point dans la défaite face au Moose,Rocket de Laval,Nicolas Landry,"mercredi, 19 févr. 2020.  21:46
(Mise à jour : mercredi, 19 févr. 2020.  23:01)"
419,https://www.rds.ca/1.7240418,Wodapalooza : guide complet des athlètes québécois!,En forme,Greg Lanctot,"mercredi, 19 févr. 2020.  21:58"
472,https://www.rds.ca/1.7240471,Jean-François Bérubé passe aux Rangers,LNH,RDS.ca,"mercredi, 19 févr. 2020.  22:33"
653,https://www.rds.ca/1.7240652,David Pastrnak a marqué en prolongation face aux Oilers,LNH,AP,"mercredi, 19 févr. 2020.  22:55
(Mise à jour : jeudi, 20 févr. 2020.  01:32)"
662,https://www.rds.ca/1.7240661,Alex Galchenyuk a marqué le but égalisateur et celui gagnant en fusillade,LNH,AP,"jeudi, 20 févr. 2020.  00:11
(Mise à jour : jeudi, 20 févr. 2020.  01:48)"
865,https://www.rds.ca/1.7240864,Rocket : Nathanael Halbert bien épaulé à son premier match malgré la défaite,Rocket de Laval,Nicolas Landry,"mercredi, 19 févr. 2020.  23:50"
