11,https://www.rds.ca/1.7249210,Cees Bol remporte la 3e étape du Tour d'Algarve; Remco Evenepol reste en tête du classement,Cyclisme,AFP,"vendredi, 21 févr. 2020.  13:59"
30,https://www.rds.ca/1.7249229,Quelles sont les destinations potentielles pour Nate Thompson?,Canadiens,Billy Bertrand pour Sportlogiq,"vendredi, 21 févr. 2020.  14:33"
31,https://www.rds.ca/1.7249230,"La Vénézuelienne Yulimar Rojas bat le record du monde en salle du triple saut avec 15,43 m à Madrid",Athlétisme,AFP,"vendredi, 21 févr. 2020.  14:22
(Mise à jour : vendredi, 21 févr. 2020.  15:00)"
